,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3286,gru,cgr,air europa,2371,29,5,50,1
3287,gru,cgr,air france,1908,29,5,50,1
3288,gru,cgr,gol,1422,29,5,50,1
3289,cgh,cgr,gol,1476,25,5,50,1
3290,cgh,cgr,gol,1476,27,5,50,1
3291,rec,fen,azul,4403,25,6,165,1
3292,rec,fen,tap air portugal,6021,23,6,165,1
3293,rec,fen,azul,4718,23,6,165,1
3294,gru,cgr,aeromexico,8510,25,6,50,1
3295,gru,cgr,delta air lines,6177,25,6,50,1
3296,gru,cgr,jet linx aviation,5552,25,6,50,1
3297,gru,cgr,latam airlines,3128,25,6,50,1
3298,vcp,cgr,azul,2700,33,6,35,1
3299,gru,cgr,air france,1965,23,6,55,1
3300,gru,cgr,aerolineas argentinas,7632,23,6,55,1
3301,gru,cgr,emirates,3725,23,6,55,1
3302,gru,cgr,ethiopian airlines,4132,23,6,55,1
3303,gru,cgr,klm,9382,23,6,55,1
3304,gru,cgr,tap air portugal,4125,23,6,55,1
3305,gru,cgr,air europa,2691,23,6,55,1
3306,gru,cgr,gol,1496,23,6,55,1
3307,cwb,cgr,azul,2623,31,6,30,1
3308,bsb,cgr,latam airlines,3716,23,6,45,1
3309,vcp,cgr,azul,4877,31,6,35,1
3310,cgh,cgr,gol,1476,23,6,50,1
3311,vcp,cgr,azul,2700,32,6,35,1
3312,rec,fen,azul,4718,25,7,165,1
3313,gru,cgr,qatar airways,5206,26,7,50,1
3314,gru,cgr,latam airlines,3819,26,7,50,1
3315,gru,cgr,air france,1965,26,7,55,1
3316,gru,cgr,aerolineas argentinas,7632,26,7,55,1
3317,gru,cgr,emirates,3725,26,7,55,1
3318,gru,cgr,ethiopian airlines,4132,26,7,55,1
3319,gru,cgr,klm,9382,26,7,55,1
3320,gru,cgr,south african airways,2345,26,7,55,1
3321,gru,cgr,tap air portugal,4125,26,7,55,1
3322,gru,cgr,air europa,2691,26,7,55,1
3323,gru,cgr,gol,1496,26,7,55,1
3324,gru,cgr,american airlines,7700,29,7,55,1
3325,gru,cgr,air france,1963,29,7,55,1
3326,gru,cgr,aeromexico,8163,29,7,55,1
3327,gru,cgr,sa avianca,4637,29,7,55,1
3328,gru,cgr,copa airlines,3579,29,7,55,1
3329,gru,cgr,tap air portugal,4143,29,7,55,1
3330,gru,cgr,ethiopian airlines,4130,29,7,55,1
3331,gru,cgr,gol,1348,29,7,55,1
3332,gru,cgr,qatar airways,5206,30,7,50,1
3333,gru,cgr,latam airlines,3819,30,7,50,1
3334,gru,cgr,aeromexico,7928,32,7,50,1
3335,gru,cgr,sa avianca,4795,32,7,50,1
3336,gru,cgr,copa airlines,3606,32,7,50,1
3337,gru,cgr,tap air portugal,4042,32,7,50,1
3338,gru,cgr,air europa,2371,32,7,50,1
3339,gru,cgr,ethiopian airlines,4148,32,7,50,1
3340,gru,cgr,south african airways,2338,32,7,50,1
3341,gru,cgr,gol,1422,32,7,50,1
3342,gru,cgr,air france,1902,32,7,50,1
3343,gru,cgr,aeromexico,7928,32,7,50,1
3344,gru,cgr,sa avianca,4617,32,7,50,1
3345,gru,cgr,copa airlines,3572,32,7,50,1
